source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
BOR-RISE,3246,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 4,,,32.888369,-105.980419,WGS84,4282,ft,185,ft,arsenic,mg/L,21,0,0,0,12/15/2022,17:40:00,0,mg/L
BOR-RISE,3245,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 3,,,32.884861,-105.97605,WGS84,4286,ft,220,ft,arsenic,mg/L,23,0,0,0,12/15/2022,16:35:00,0,mg/L
BOR-RISE,3244,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 2,,,32.883,-105.978719,WGS84,4277,ft,190,ft,arsenic,mg/L,22,0,0,0,12/15/2022,17:00:00,0,mg/L
BOR-RISE,3243,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 1,,,32.883011,-105.978867,WGS84,4275,ft,1340,ft,arsenic,mg/L,23,0,0,0,12/15/2022,16:15:00,0,mg/L
WQP,AZ014-323226108565201,3.20S.20W.30.142,,,32.540633,-108.948391,WGS84,4250,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/10/1986,,0.011,mg/L
WQP,AZ014-323425109022101,20S.21W.17.111,,,32.573686,-109.039782,WGS84,3990,ft,171,ft,arsenic,mg/L,1,0.01,0.01,0.01,5/8/2007,,0.0117,mg/L
WQP,AZ014-323554108581701,3.20S.21W.01.131,,,32.598409,-108.972003,WGS84,4153,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/10/1986,,0.014,mg/L
WQP,AZ014-323613108500301,19S.19W.32.333,,,32.603689,-108.834779,WGS84,4150,ft,406,ft,arsenic,mg/L,1,0.01,0.01,0.01,3/18/1988,,0.014,mg/L
WQP,AZ014-323806108594001,3.19S.21W.22.432,,,32.635074,-108.99506,WGS84,4103,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/10/1986,,0.008,mg/L
WQP,USGS-315010109014801,28S.21W.30.CCA,,,31.836205,-109.030614,WGS84,4125,ft,,ft,arsenic,mg/L,1,0,0,0,7/24/1985,,0.004,mg/L
WQP,USGS-315015109014301,28S.21W.30.CAC,,,31.837594,-109.029225,WGS84,4125,ft,,ft,arsenic,mg/L,1,0,0,0,7/24/1985,,0.003,mg/L
WQP,USGS-324137109013601,18S.21W.32.DDB,,,32.693684,-109.027283,WGS84,3725,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/22/1985,,0.009,mg/L
WQP,USGS-350809106424901,11N.02E.34.423,,,35.135889,-106.713833,WGS84,5108,ft,,ft,arsenic,mg/L,3,0.01,0.01,0.01,12/13/2005,,0.0108,mg/L
WQP,USGS-360402107583901,21N.11W.11.322,,,36.067222,-107.9775,WGS84,6070,ft,38.35,ft,arsenic,mg/L,2,0,0,0,12/6/2005,,0.00038,mg/L
WQP,USEPA-320153106254101,26S.05E.22.133,,,32.031389,-106.428056,WGS84,4037,ft,685,ft,arsenic,mg/L,1,0.01,0.01,0.01,1/14/2021,,0.0065,mg/L
WQP,USEPA-321722104121401,NM3521308 OTIS WATER CO-OP WELL  2 (C228BS),,,32.289444,-104.203889,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/13/2023,,0.0011,mg/L
WQP,USEPA-321745104095901,NM3521208 MALAGA WATER USERS C WELL 1,,,32.295833,-104.166389,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/13/2023,,0.0012,mg/L
WQP,USEPA-323805105414001,19S.12E.23.431,,,32.634722,-105.694444,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,4/27/2021,,0.00048,mg/L
