source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
BOR-RISE,3246,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 4,,,32.888369,-105.980419,WGS84,4282.0,ft,185.0,ft,chloride,mg/L,21,0.0,794.0,617.57,2022-12-15,17:40:00,794.0,mg/L
BOR-RISE,3245,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 3,,,32.884861,-105.97605,WGS84,4286.0,ft,220.0,ft,chloride,mg/L,23,500.0,775.0,660.09,2022-12-15,16:35:00,775.0,mg/L
BOR-RISE,3244,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 2,,,32.883,-105.978719,WGS84,4277.0,ft,190.0,ft,chloride,mg/L,22,480.0,674.0,575.36,2022-12-15,17:00:00,632.0,mg/L
BOR-RISE,3243,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 1,,,32.883011,-105.978867,WGS84,4275.0,ft,1340.0,ft,chloride,mg/L,23,33.0,48.7,37.09,2022-12-15,16:15:00,40.1,mg/L
WQP,AZ014-323226108565201,3.20S.20W.30.142,,,32.540633,-108.948391,WGS84,4250.0,ft,,ft,chloride,mg/L,1,30.0,30.0,30.0,1986-07-10,,30.0,mg/L
WQP,AZ014-323425109022101,20S.21W.17.111,,,32.573686,-109.039782,WGS84,3990.0,ft,171.0,ft,chloride,mg/L,9,7.8,11.0,8.87,2007-05-08,,9.35,mg/L
WQP,AZ014-323554108581701,3.20S.21W.01.131,,,32.598409,-108.972003,WGS84,4153.0,ft,,ft,chloride,mg/L,1,31.0,31.0,31.0,1986-07-10,,31.0,mg/L
WQP,AZ014-323613108500301,19S.19W.32.333,,,32.603689,-108.834779,WGS84,4150.0,ft,406.0,ft,chloride,mg/L,1,10.0,10.0,10.0,1988-03-18,,10.0,mg/L
WQP,AZ014-323722108494001,19S.19W.29.323,,,32.622855,-108.82839,WGS84,4160.0,ft,290.0,ft,chloride,mg/L,1,10.0,10.0,10.0,1988-03-18,,10.0,mg/L
WQP,AZ014-323806108594001,3.19S.21W.22.432,,,32.635074,-108.99506,WGS84,4103.0,ft,,ft,chloride,mg/L,1,17.0,17.0,17.0,1986-07-10,,17.0,mg/L
WQP,AZ014-323845108435001,19S.18W.20.111,,,32.645911,-108.731166,WGS84,4300.0,ft,,ft,chloride,mg/L,1,9.6,9.6,9.6,1988-03-16,,9.6,mg/L
WQP,USGS-315010109014801,28S.21W.30.CCA,,,31.836205,-109.030614,WGS84,4125.0,ft,,ft,chloride,mg/L,1,27.0,27.0,27.0,1985-07-24,,27.0,mg/L
WQP,USGS-315015109014301,28S.21W.30.CAC,,,31.837594,-109.029225,WGS84,4125.0,ft,,ft,chloride,mg/L,1,28.0,28.0,28.0,1985-07-24,,28.0,mg/L
WQP,USGS-320212109022301,26S.22W.24.212,,,32.036755,-109.040338,WGS84,3925.0,ft,25.0,ft,chloride,mg/L,1,9.0,9.0,9.0,1946-10-03,,9.0,mg/L
WQP,USGS-320325109021501,26S.22W.12.42 A,,,32.057032,-109.038115,WGS84,3890.0,ft,8.0,ft,chloride,mg/L,1,10.0,10.0,10.0,1946-10-02,,10.0,mg/L
WQP,USGS-323426109022201,3.20S.21W.17.111,,,32.573964,-109.040059,WGS84,3962.0,ft,,ft,chloride,mg/L,5,8.0,11.0,9.56,1992-03-18,,10.0,mg/L
WQP,USGS-324137109013601,18S.21W.32.DDB,,,32.693684,-109.027283,WGS84,3725.0,ft,,ft,chloride,mg/L,1,26.0,26.0,26.0,1985-07-22,,26.0,mg/L
WQP,USGS-350809106424901,11N.02E.34.423,,,35.135889,-106.713833,WGS84,5108.0,ft,,ft,chloride,mg/L,3,12.9,13.2,13.1,2005-12-13,,13.2,mg/L
WQP,USGS-352242109023001,18 124-02.40X08.45,,,35.378357,-109.042313,WGS84,6300.0,ft,,ft,chloride,mg/L,1,92.0,92.0,92.0,1955-09-14,,92.0,mg/L
WQP,USGS-352306109015001,18 124-01.76X08.00,,,35.385023,-109.031201,WGS84,6230.0,ft,70.0,ft,chloride,mg/L,1,46.0,46.0,46.0,1955-09-15,,46.0,mg/L
WQP,USGS-352306109015801,18 124-01.86X08.00,,,35.385023,-109.033423,WGS84,6235.0,ft,100.0,ft,chloride,mg/L,1,170.0,170.0,170.0,1955-09-15,,170.0,mg/L
WQP,USGS-352344109011001,18 124-01.10X07.23,,,35.395579,-109.02009,WGS84,6250.0,ft,,ft,chloride,mg/L,1,30.0,30.0,30.0,1955-09-14,,30.0,mg/L
WQP,USGS-352456109001201,18 124-00.20X05.85,,,35.415579,-109.003979,WGS84,6520.0,ft,,ft,chloride,mg/L,1,870.0,870.0,870.0,1955-09-15,,870.0,mg/L
WQP,USGS-360402107583901,21N.11W.11.322,,,36.067222,-107.9775,WGS84,6070.0,ft,38.35,ft,chloride,mg/L,3,59.5,60.8,60.37,2005-12-06,,60.8,mg/L
WQP,USEPA-320153106254101,26S.05E.22.133,,,32.031389,-106.428056,WGS84,4037.0,ft,685.0,ft,chloride,mg/L,1,53.7,53.7,53.7,2021-01-14,,53.7,mg/L
WQP,USEPA-321722104121401,NM3521308 OTIS WATER CO-OP WELL  2 (C228BS),,,32.289444,-104.203889,WGS84,,ft,,ft,chloride,mg/L,1,213.0,213.0,213.0,2023-07-13,,213.0,mg/L
WQP,USEPA-321745104095901,NM3521208 MALAGA WATER USERS C WELL 1,,,32.295833,-104.166389,WGS84,,ft,,ft,chloride,mg/L,1,592.0,592.0,592.0,2023-07-13,,592.0,mg/L
WQP,USEPA-323805105414001,19S.12E.23.431,,,32.634722,-105.694444,WGS84,,ft,,ft,chloride,mg/L,1,9.36,9.36,9.36,2021-04-27,,9.36,mg/L
WQP,USEPA-323847105420601,19S.12E.22.211,,,32.646389,-105.701667,WGS84,7128.0,ft,1200.0,ft,chloride,mg/L,1,3.05,3.05,3.05,2021-04-27,,3.05,mg/L
WQP,USEPA-324817105584801,17S.09E.25.313 2,,,32.804722,-105.98,WGS84,4106.0,ft,300.0,ft,chloride,mg/L,1,166.0,166.0,166.0,2021-08-17,,166.0,mg/L
WQP,USEPA-324827105585001,17S.09E.25.133 1,,,32.8075,-105.980556,WGS84,4109.0,ft,250.0,ft,chloride,mg/L,1,128.0,128.0,128.0,2020-12-22,,128.0,mg/L
WQP,USEPA-324904105585401,17S.09E.23.442 4,,,32.817778,-105.981667,WGS84,4124.0,ft,200.0,ft,chloride,mg/L,1,448.0,448.0,448.0,2020-11-05,,448.0,mg/L
WQP,USEPA-325041104240701,17S.26E.08.432,,,32.844722,-104.401944,WGS84,,ft,1158.0,ft,chloride,mg/L,1,13.6,13.6,13.6,2021-08-18,,13.6,mg/L
WQP,USEPA-325355103441301,NM3500113 MOR-WEST CORPORATION WELL 10,,,32.898611,-103.736944,WGS84,,ft,,ft,chloride,mg/L,1,35.6,35.6,35.6,2023-07-12,,35.6,mg/L
WQP,USEPA-325510105584101,16S.09E.13.332 1,,,32.919444,-105.978056,WGS84,4348.0,ft,226.0,ft,chloride,mg/L,1,217.0,217.0,217.0,2021-02-11,,217.0,mg/L
WQP,USEPA-325537105364001,16S.13E.09.442,,,32.926944,-105.611111,WGS84,7628.0,ft,652.0,ft,chloride,mg/L,1,10.5,10.5,10.5,2021-01-26,,10.5,mg/L
WQP,USEPA-325559105483301,16S.11E.10.112 1,,,32.933056,-105.809167,WGS84,7297.0,ft,150.0,ft,chloride,mg/L,1,42.1,42.1,42.1,2020-12-29,,42.1,mg/L
WQP,USEPA-325610105561801,16S.10E.05.443 7,,,32.936111,-105.938333,WGS84,4591.0,ft,750.0,ft,chloride,mg/L,1,221.0,221.0,221.0,2021-05-25,,221.0,mg/L
WQP,USEPA-325611105445801,16S.12E.06.44 1,,,32.936389,-105.749444,WGS84,8793.0,ft,335.0,ft,chloride,mg/L,1,22.0,22.0,22.0,2021-04-28,,22.0,mg/L
WQP,USEPA-325623105483301,16S.11E.03.332 2,,,32.939722,-105.809167,WGS84,7129.0,ft,,ft,chloride,mg/L,1,22.6,22.6,22.6,2020-12-29,,22.6,mg/L
WQP,USEPA-325645105574101,16S.10E.06.314 1,,,32.945833,-105.961389,WGS84,4505.0,ft,270.0,ft,chloride,mg/L,1,267.0,267.0,267.0,2021-05-27,,267.0,mg/L
WQP,USEPA-325648105561201,16S.10E.05.422 6,,,32.946667,-105.936667,WGS84,4686.0,ft,844.0,ft,chloride,mg/L,1,283.0,283.0,283.0,2021-01-27,,283.0,mg/L
WQP,USEPA-325654105421001,16S.12E.03.233 8,,,32.948333,-105.702778,WGS84,8393.0,ft,400.0,ft,chloride,mg/L,1,20.5,20.5,20.5,2021-03-31,,20.5,mg/L
