source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
BOR-RISE,3246,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 4,,,32.888369,-105.980419,WGS84,4282.0,ft,185.0,ft,nitrate,mg/L,21,0.0,4.6,3.66,2022-12-15,17:40:00,4.11,mg/L
BOR-RISE,3245,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 3,,,32.884861,-105.97605,WGS84,4286.0,ft,220.0,ft,nitrate,mg/L,23,2.09,4.9,2.83,2022-12-15,16:35:00,2.69,mg/L
BOR-RISE,3244,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 2,,,32.883,-105.978719,WGS84,4277.0,ft,190.0,ft,nitrate,mg/L,22,3.69,9.11,7.37,2022-12-15,17:00:00,9.11,mg/L
BOR-RISE,3243,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 1,,,32.883011,-105.978867,WGS84,4275.0,ft,1340.0,ft,nitrate,mg/L,23,0.0,0.18,0.01,2022-12-15,16:15:00,0.0,mg/L
WQP,AZ014-323425109022101,20S.21W.17.111,,,32.573686,-109.039782,WGS84,3990.0,ft,171.0,ft,nitrate,mg/L,18,20.76,24.35,22.51,2007-05-08,,23.7,mg/L
WQP,USGS-323426109022201,3.20S.21W.17.111,,,32.573964,-109.040059,WGS84,3962.0,ft,,ft,nitrate,mg/L,2,20.8,20.81,20.8,1992-03-18,,20.8,mg/L
WQP,USGS-350809106424901,11N.02E.34.423,,,35.135889,-106.713833,WGS84,5108.0,ft,,ft,nitrate,mg/L,6,2.74,3.08,2.96,2005-12-13,,3.08,mg/L
WQP,USGS-352242109023001,18 124-02.40X08.45,,,35.378357,-109.042313,WGS84,6300.0,ft,,ft,nitrate,mg/L,2,3.9,3.9,3.9,1955-09-14,,3.9,mg/L
WQP,USGS-352306109015001,18 124-01.76X08.00,,,35.385023,-109.031201,WGS84,6230.0,ft,70.0,ft,nitrate,mg/L,2,6.5,6.51,6.5,1955-09-15,,6.5,mg/L
WQP,USGS-352344109011001,18 124-01.10X07.23,,,35.395579,-109.02009,WGS84,6250.0,ft,,ft,nitrate,mg/L,2,10.98,11.0,10.99,1955-09-14,,11.0,mg/L
WQP,USEPA-320153106254101,26S.05E.22.133,,,32.031389,-106.428056,WGS84,4037.0,ft,685.0,ft,nitrate,mg/L,2,9.96,9.96,9.96,2021-01-14,,9.96,mg/L
WQP,USEPA-323805105414001,19S.12E.23.431,,,32.634722,-105.694444,WGS84,,ft,,ft,nitrate,mg/L,2,1.78,1.78,1.78,2021-04-27,,1.78,mg/L
WQP,USEPA-323847105420601,19S.12E.22.211,,,32.646389,-105.701667,WGS84,7128.0,ft,1200.0,ft,nitrate,mg/L,2,1.31,1.32,1.32,2021-04-27,,1.32,mg/L
WQP,USEPA-324817105584801,17S.09E.25.313 2,,,32.804722,-105.98,WGS84,4106.0,ft,300.0,ft,nitrate,mg/L,2,6.11,6.12,6.11,2021-08-17,,6.12,mg/L
WQP,USEPA-324827105585001,17S.09E.25.133 1,,,32.8075,-105.980556,WGS84,4109.0,ft,250.0,ft,nitrate,mg/L,2,7.7,7.72,7.71,2020-12-22,,7.72,mg/L
WQP,USEPA-324904105585401,17S.09E.23.442 4,,,32.817778,-105.981667,WGS84,4124.0,ft,200.0,ft,nitrate,mg/L,2,17.8,17.84,17.82,2020-11-05,,17.8,mg/L
WQP,USEPA-325041104240701,17S.26E.08.432,,,32.844722,-104.401944,WGS84,,ft,1158.0,ft,nitrate,mg/L,2,3.16,3.17,3.16,2021-08-18,,3.16,mg/L
WQP,USEPA-325510105584101,16S.09E.13.332 1,,,32.919444,-105.978056,WGS84,4348.0,ft,226.0,ft,nitrate,mg/L,2,6.91,6.92,6.91,2021-02-11,,6.92,mg/L
