source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
BOR-RISE,3246,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 4,,,32.888369,-105.980419,WGS84,4282.0,ft,185.0,ft,ph,,21,0.0,7.9,6.96,2022-12-15,17:40:00,6.96,
BOR-RISE,3245,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 3,,,32.884861,-105.97605,WGS84,4286.0,ft,220.0,ft,ph,,23,6.97,7.78,7.36,2022-12-15,16:35:00,6.97,
BOR-RISE,3244,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 2,,,32.883,-105.978719,WGS84,4277.0,ft,190.0,ft,ph,,22,6.96,7.94,7.35,2022-12-15,17:00:00,6.96,
BOR-RISE,3243,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 1,,,32.883011,-105.978867,WGS84,4275.0,ft,1340.0,ft,ph,,23,7.33,8.25,7.79,2022-12-15,16:15:00,7.48,
WQP,AZ014-323226108565201,3.20S.20W.30.142,,,32.540633,-108.948391,WGS84,4250.0,ft,,ft,ph,,2,8.5,8.6,8.55,1986-07-10,,8.6,
WQP,AZ014-323425109022101,20S.21W.17.111,,,32.573686,-109.039782,WGS84,3990.0,ft,171.0,ft,ph,,18,8.3,8.8,8.58,2007-05-08,,8.8,
WQP,AZ014-323554108581701,3.20S.21W.01.131,,,32.598409,-108.972003,WGS84,4153.0,ft,,ft,ph,,2,8.4,8.5,8.45,1986-07-10,,8.5,
WQP,AZ014-323613108500301,19S.19W.32.333,,,32.603689,-108.834779,WGS84,4150.0,ft,406.0,ft,ph,,2,9.0,9.2,9.1,1988-03-18,,9.2,
WQP,AZ014-323722108494001,19S.19W.29.323,,,32.622855,-108.82839,WGS84,4160.0,ft,290.0,ft,ph,,2,7.8,8.1,7.95,1988-03-18,,8.1,
WQP,AZ014-323806108594001,3.19S.21W.22.432,,,32.635074,-108.99506,WGS84,4103.0,ft,,ft,ph,,2,8.1,8.3,8.2,1986-07-10,,8.3,
WQP,AZ014-323845108435001,19S.18W.20.111,,,32.645911,-108.731166,WGS84,4300.0,ft,,ft,ph,,2,7.7,8.1,7.9,1988-03-16,,8.1,
WQP,USGS-315010109014801,28S.21W.30.CCA,,,31.836205,-109.030614,WGS84,4125.0,ft,,ft,ph,,2,7.6,8.1,7.85,1985-07-24,,8.1,
WQP,USGS-315015109014301,28S.21W.30.CAC,,,31.837594,-109.029225,WGS84,4125.0,ft,,ft,ph,,2,7.5,7.9,7.7,1985-07-24,,7.9,
WQP,USGS-323426109022201,3.20S.21W.17.111,,,32.573964,-109.040059,WGS84,3962.0,ft,,ft,ph,,10,8.4,8.8,8.62,1992-03-18,,8.7,
WQP,USGS-324137109013601,18S.21W.32.DDB,,,32.693684,-109.027283,WGS84,3725.0,ft,,ft,ph,,2,7.2,7.5,7.35,1985-07-22,,7.5,
WQP,USGS-350809106424901,11N.02E.34.423,,,35.135889,-106.713833,WGS84,5108.0,ft,,ft,ph,,6,6.9,8.1,7.75,2005-12-13,,8.1,
WQP,USGS-352242109023001,18 124-02.40X08.45,,,35.378357,-109.042313,WGS84,6300.0,ft,,ft,ph,,1,7.3,7.3,7.3,1955-09-14,,7.3,
WQP,USGS-352306109015001,18 124-01.76X08.00,,,35.385023,-109.031201,WGS84,6230.0,ft,70.0,ft,ph,,1,7.2,7.2,7.2,1955-09-15,,7.2,
WQP,USGS-352306109015801,18 124-01.86X08.00,,,35.385023,-109.033423,WGS84,6235.0,ft,100.0,ft,ph,,1,7.3,7.3,7.3,1955-09-15,,7.3,
WQP,USGS-352344109011001,18 124-01.10X07.23,,,35.395579,-109.02009,WGS84,6250.0,ft,,ft,ph,,1,7.4,7.4,7.4,1955-09-14,,7.4,
WQP,USGS-352456109001201,18 124-00.20X05.85,,,35.415579,-109.003979,WGS84,6520.0,ft,,ft,ph,,1,7.8,7.8,7.8,1955-09-15,,7.8,
WQP,USGS-352743108563202,14N.20W.10ABD2,,,35.461967,-108.942866,WGS84,6300.0,ft,,ft,ph,,1,7.8,7.8,7.8,1991-06-11,,7.8,
WQP,USGS-360402107583901,21N.11W.11.322,,,36.067222,-107.9775,WGS84,6070.0,ft,38.35,ft,ph,,6,7.2,7.9,7.6,2005-12-06,,7.5,
WQP,USEPA-320153106254101,26S.05E.22.133,,,32.031389,-106.428056,WGS84,4037.0,ft,685.0,ft,ph,,2,7.9,8.2,8.05,2021-01-14,,8.2,
WQP,USEPA-321722104121401,NM3521308 OTIS WATER CO-OP WELL  2 (C228BS),,,32.289444,-104.203889,WGS84,,ft,,ft,ph,,3,7.1,7.8,7.47,2023-11-02,,7.8,
WQP,USEPA-321745104095901,NM3521208 MALAGA WATER USERS C WELL 1,,,32.295833,-104.166389,WGS84,,ft,,ft,ph,,3,7.0,7.8,7.43,2023-11-02,,7.8,
WQP,USEPA-323805105414001,19S.12E.23.431,,,32.634722,-105.694444,WGS84,,ft,,ft,ph,,2,7.0,8.1,7.55,2021-04-27,,8.1,
WQP,USEPA-323847105420601,19S.12E.22.211,,,32.646389,-105.701667,WGS84,7128.0,ft,1200.0,ft,ph,,2,7.3,8.2,7.75,2021-04-27,,8.2,
WQP,USEPA-324817105584801,17S.09E.25.313 2,,,32.804722,-105.98,WGS84,4106.0,ft,300.0,ft,ph,,2,7.1,7.9,7.5,2021-08-17,,7.9,
WQP,USEPA-324827105585001,17S.09E.25.133 1,,,32.8075,-105.980556,WGS84,4109.0,ft,250.0,ft,ph,,2,7.3,7.9,7.6,2020-12-22,,7.9,
WQP,USEPA-324904105585401,17S.09E.23.442 4,,,32.817778,-105.981667,WGS84,4124.0,ft,200.0,ft,ph,,2,7.0,7.8,7.4,2020-11-05,,7.8,
WQP,USEPA-325041104240701,17S.26E.08.432,,,32.844722,-104.401944,WGS84,,ft,1158.0,ft,ph,,2,7.1,7.9,7.5,2021-08-18,,7.9,
WQP,USEPA-325355103441301,NM3500113 MOR-WEST CORPORATION WELL 10,,,32.898611,-103.736944,WGS84,,ft,,ft,ph,,3,7.4,8.3,7.9,2023-10-31,,8.3,
WQP,USEPA-325510105584101,16S.09E.13.332 1,,,32.919444,-105.978056,WGS84,4348.0,ft,226.0,ft,ph,,2,7.0,7.9,7.45,2021-02-11,,7.9,
WQP,USEPA-325537105364001,16S.13E.09.442,,,32.926944,-105.611111,WGS84,7628.0,ft,652.0,ft,ph,,2,7.1,8.2,7.65,2021-01-26,,8.2,
WQP,USEPA-325559105483301,16S.11E.10.112 1,,,32.933056,-105.809167,WGS84,7297.0,ft,150.0,ft,ph,,2,7.2,7.9,7.55,2020-12-29,,7.9,
WQP,USEPA-325610105561801,16S.10E.05.443 7,,,32.936111,-105.938333,WGS84,4591.0,ft,750.0,ft,ph,,2,7.5,8.0,7.75,2021-05-25,,8.0,
WQP,USEPA-325611105445801,16S.12E.06.44 1,,,32.936389,-105.749444,WGS84,8793.0,ft,335.0,ft,ph,,2,7.2,8.0,7.6,2021-04-28,,8.0,
WQP,USEPA-325623105483301,16S.11E.03.332 2,,,32.939722,-105.809167,WGS84,7129.0,ft,,ft,ph,,2,7.2,8.1,7.65,2020-12-29,,8.1,
WQP,USEPA-325645105574101,16S.10E.06.314 1,,,32.945833,-105.961389,WGS84,4505.0,ft,270.0,ft,ph,,2,7.0,8.1,7.55,2021-05-27,,8.1,
WQP,USEPA-325648105561201,16S.10E.05.422 6,,,32.946667,-105.936667,WGS84,4686.0,ft,844.0,ft,ph,,2,7.1,8.1,7.6,2021-01-27,,8.1,
WQP,USEPA-325654105421001,16S.12E.03.233 8,,,32.948333,-105.702778,WGS84,8393.0,ft,400.0,ft,ph,,6,7.0,8.2,7.42,2022-09-14,,7.0,
WQP,USEPA-325656105421001,16S.12E.03.233 5,,,32.948889,-105.702778,WGS84,8396.0,ft,360.0,ft,ph,,6,7.3,8.2,7.5,2022-09-14,,7.3,
WQP,USEPA-325658105420901,16S.12E.03.233 9,,,32.949444,-105.7025,WGS84,8418.0,ft,400.0,ft,ph,,6,7.2,8.2,7.5,2022-09-14,,7.2,
