source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
BOR-RISE,3246,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 4,,,32.888369,-105.980419,WGS84,4282.0,ft,185.0,ft,sodium,mg/L,21,0.0,540.0,404.0,2022-12-15,17:40:00,418.0,mg/L
BOR-RISE,3245,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 3,,,32.884861,-105.97605,WGS84,4286.0,ft,220.0,ft,sodium,mg/L,23,321.0,530.0,375.26,2022-12-15,16:35:00,334.0,mg/L
BOR-RISE,3244,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 2,,,32.883,-105.978719,WGS84,4277.0,ft,190.0,ft,sodium,mg/L,22,464.0,776.0,658.27,2022-12-15,17:00:00,662.0,mg/L
BOR-RISE,3243,Brackish Groundwater National Desalination Research Facility (BGNDRF) Well 1,,,32.883011,-105.978867,WGS84,4275.0,ft,1340.0,ft,sodium,mg/L,23,261.0,540.0,329.74,2022-12-15,16:15:00,261.0,mg/L
WQP,AZ014-323226108565201,3.20S.20W.30.142,,,32.540633,-108.948391,WGS84,4250.0,ft,,ft,sodium,mg/L,1,91.0,91.0,91.0,1986-07-10,,91.0,mg/L
WQP,AZ014-323425109022101,20S.21W.17.111,,,32.573686,-109.039782,WGS84,3990.0,ft,171.0,ft,sodium,mg/L,9,92.9,100.0,97.01,2007-05-08,,92.9,mg/L
WQP,AZ014-323554108581701,3.20S.21W.01.131,,,32.598409,-108.972003,WGS84,4153.0,ft,,ft,sodium,mg/L,1,92.0,92.0,92.0,1986-07-10,,92.0,mg/L
WQP,AZ014-323613108500301,19S.19W.32.333,,,32.603689,-108.834779,WGS84,4150.0,ft,406.0,ft,sodium,mg/L,1,98.0,98.0,98.0,1988-03-18,,98.0,mg/L
WQP,AZ014-323722108494001,19S.19W.29.323,,,32.622855,-108.82839,WGS84,4160.0,ft,290.0,ft,sodium,mg/L,1,73.0,73.0,73.0,1988-03-18,,73.0,mg/L
WQP,AZ014-323806108594001,3.19S.21W.22.432,,,32.635074,-108.99506,WGS84,4103.0,ft,,ft,sodium,mg/L,1,84.0,84.0,84.0,1986-07-10,,84.0,mg/L
WQP,AZ014-323845108435001,19S.18W.20.111,,,32.645911,-108.731166,WGS84,4300.0,ft,,ft,sodium,mg/L,1,25.0,25.0,25.0,1988-03-16,,25.0,mg/L
WQP,USGS-315010109014801,28S.21W.30.CCA,,,31.836205,-109.030614,WGS84,4125.0,ft,,ft,sodium,mg/L,1,34.0,34.0,34.0,1985-07-24,,34.0,mg/L
WQP,USGS-315015109014301,28S.21W.30.CAC,,,31.837594,-109.029225,WGS84,4125.0,ft,,ft,sodium,mg/L,1,26.0,26.0,26.0,1985-07-24,,26.0,mg/L
WQP,USGS-323426109022201,3.20S.21W.17.111,,,32.573964,-109.040059,WGS84,3962.0,ft,,ft,sodium,mg/L,5,95.0,98.0,96.6,1992-03-18,,97.0,mg/L
WQP,USGS-324137109013601,18S.21W.32.DDB,,,32.693684,-109.027283,WGS84,3725.0,ft,,ft,sodium,mg/L,1,160.0,160.0,160.0,1985-07-22,,160.0,mg/L
WQP,USGS-350809106424901,11N.02E.34.423,,,35.135889,-106.713833,WGS84,5108.0,ft,,ft,sodium,mg/L,3,38.6,42.6,40.53,2005-12-13,,40.4,mg/L
WQP,USGS-360402107583901,21N.11W.11.322,,,36.067222,-107.9775,WGS84,6070.0,ft,38.35,ft,sodium,mg/L,3,1910.0,2070.0,1963.33,2005-12-06,,1910.0,mg/L
WQP,USEPA-320153106254101,26S.05E.22.133,,,32.031389,-106.428056,WGS84,4037.0,ft,685.0,ft,sodium,mg/L,1,51.0,51.0,51.0,2021-01-14,,51.0,mg/L
WQP,USEPA-321722104121401,NM3521308 OTIS WATER CO-OP WELL  2 (C228BS),,,32.289444,-104.203889,WGS84,,ft,,ft,sodium,mg/L,1,74.7,74.7,74.7,2023-07-13,,74.7,mg/L
WQP,USEPA-321745104095901,NM3521208 MALAGA WATER USERS C WELL 1,,,32.295833,-104.166389,WGS84,,ft,,ft,sodium,mg/L,1,175.0,175.0,175.0,2023-07-13,,175.0,mg/L
WQP,USEPA-323805105414001,19S.12E.23.431,,,32.634722,-105.694444,WGS84,,ft,,ft,sodium,mg/L,1,11.7,11.7,11.7,2021-04-27,,11.7,mg/L
WQP,USEPA-323847105420601,19S.12E.22.211,,,32.646389,-105.701667,WGS84,7128.0,ft,1200.0,ft,sodium,mg/L,1,4.58,4.58,4.58,2021-04-27,,4.58,mg/L
WQP,USEPA-324817105584801,17S.09E.25.313 2,,,32.804722,-105.98,WGS84,4106.0,ft,300.0,ft,sodium,mg/L,1,64.0,64.0,64.0,2021-08-17,,64.0,mg/L
WQP,USEPA-324827105585001,17S.09E.25.133 1,,,32.8075,-105.980556,WGS84,4109.0,ft,250.0,ft,sodium,mg/L,1,65.7,65.7,65.7,2020-12-22,,65.7,mg/L
