API,Link
30-001-20003,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30001200030000
30-001-20007,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30001200070000
30-001-20010,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30001200100000
30-001-20012,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30001200120000
30-003-05000,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003050000000
30-003-05001,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003050010000
30-003-05002,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003050020000
30-003-20001,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200010000
30-003-20002,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200020000
30-003-20004,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200040000
30-003-20008,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200080000
30-003-20012,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200120000
30-003-20015,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200150000
30-003-20018,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200180000
30-003-20019,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200190000
30-003-20022,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200220000
30-003-20023,https://ocdimage.emnrd.nm.gov/imaging/https://ocdimage.emnrd.nm.gov/imaging/WellFileView.aspx?RefType=WL&RefID=30003200230000
