OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
1,1,"(453636.37320000026, 3717082.8379999995)",CapitanPassCSA-100,453636.37320000026,3717082.8379999995,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Artesia,,Artesia
2,2,"(456256.82919999957, 3714916.4557000007)",CapitanPassCSA-3500,456256.82919999957,3714916.4557000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Artesia,6135.0,Artesia
3,3,"(456808.7687999997, 3714460.1564000007)",CapitanPassCSA-4216,456808.7687999997,3714460.1564000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Artesia,6305.0,Artesia
4,4,"(442308.87519999966, 3703233.7464000005)",FortStantonCSD-519,442308.87519999966,3703233.7464000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,4845.0,Artesia
5,5,"(448055.9648000002, 3704841.3323)",FortStantonCSE-2312,448055.9648000002,3704841.3323,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6082.0,Artesia
6,6,"(448645.30140000023, 3703759.0681999996)",FortStantonCSE-3544,448645.30140000023,3703759.0681999996,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6010.0,Artesia
7,7,"(447781.8761999998, 3705344.6714999992)",FortStantonCSE-1739,447781.8761999998,3705344.6714999992,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6131.0,Artesia
8,8,"(447105.1513, 3706587.4164000005)",FortStantonCSE-324,447105.1513,3706587.4164000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,5357.0,Artesia
9,9,"(442384.93730000034, 3699336.4766000006)",FortStantonCSC-613,442384.93730000034,3699336.4766000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,5200.0,Artesia
10,10,"(443729.24870000035, 3702293.5342999995)",FortStantonCSD-2222,443729.24870000035,3702293.5342999995,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,5259.0,Artesia
11,11,"(447741.6830000002, 3699637.5150000006)",FortStantonCSD-7034,447741.6830000002,3699637.5150000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6742.0,Artesia
12,12,"(445797.97030000016, 3700924.1500000004)",FortStantonCSD-4703,445797.97030000016,3700924.1500000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,5797.0,Artesia
13,13,"(445009.5175000001, 3701446.0639999993)",FortStantonCSD-3758,445009.5175000001,3701446.0639999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,5482.0,Artesia
14,14,"(447491.52440000046, 3699803.1067999993)",FortStantonCSD-6734,447491.52440000046,3699803.1067999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6512.0,Artesia
15,15,"(449125.05420000013, 3702878.045)",FortStantonCSE-4548,449125.05420000013,3702878.045,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6118.0,Artesia
16,16,"(450464.1712999996, 3700418.8758000005)",FortStantonCSE-7348,450464.1712999996,3700418.8758000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6587.0,Artesia
17,17,"(449922.4808, 3701413.642000001)",FortStantonCSE-6215,449922.4808,3701413.642000001,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,6604.0,Artesia
18,18,"(436183.0537999999, 3697653.1160000004)",AngusCSB-8312,436183.0537999999,3697653.1160000004,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,Artesia,3228.0,Artesia
19,19,"(437124.20469999965, 3696726.4626)",AngusCSB-9633,437124.20469999965,3696726.4626,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,Artesia,4553.0,Artesia
20,20,"(437889.48500000034, 3695972.9707999993)",AngusCSB-10707,437889.48500000034,3695972.9707999993,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,Artesia,4806.0,Artesia
21,21,"(442032.42650000006, 3696667.7652000003)",FortStantonCSA-10262,442032.42650000006,3696667.7652000003,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,Artesia,5583.0,Artesia
