OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
1,1,"(453636.37320000026, 3717082.8379999995)",CapitanPassCSA-100,453636.37320000026,3717082.8379999995,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,LDockum,,LDockum
2,2,"(456256.82919999957, 3714916.4557000007)",CapitanPassCSA-3500,456256.82919999957,3714916.4557000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,LDockum,6351.0,LDockum
3,3,"(442308.87519999966, 3703233.7464000005)",FortStantonCSD-519,442308.87519999966,3703233.7464000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,,LDockum
4,4,"(448055.9648000002, 3704841.3323)",FortStantonCSE-2312,448055.9648000002,3704841.3323,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6266.0,LDockum
5,5,"(448645.30140000023, 3703759.0681999996)",FortStantonCSE-3544,448645.30140000023,3703759.0681999996,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6213.0,LDockum
6,6,"(447781.8761999998, 3705344.6714999992)",FortStantonCSE-1739,447781.8761999998,3705344.6714999992,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6279.0,LDockum
7,7,"(447105.1513, 3706587.4164000005)",FortStantonCSE-324,447105.1513,3706587.4164000005,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,,LDockum
8,8,"(442384.93730000034, 3699336.4766000006)",FortStantonCSC-613,442384.93730000034,3699336.4766000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,5351.0,LDockum
9,9,"(443729.24870000035, 3702293.5342999995)",FortStantonCSD-2222,443729.24870000035,3702293.5342999995,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,,LDockum
10,10,"(445797.97030000016, 3700924.1500000004)",FortStantonCSD-4703,445797.97030000016,3700924.1500000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6062.0,LDockum
11,11,"(445009.5175000001, 3701446.0639999993)",FortStantonCSD-3758,445009.5175000001,3701446.0639999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,5872.0,LDockum
12,12,"(447491.52440000046, 3699803.1067999993)",FortStantonCSD-6734,447491.52440000046,3699803.1067999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6778.0,LDockum
13,13,"(449125.05420000013, 3702878.045)",FortStantonCSE-4548,449125.05420000013,3702878.045,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6391.0,LDockum
14,14,"(436183.0537999999, 3697653.1160000004)",AngusCSB-8312,436183.0537999999,3697653.1160000004,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,LDockum,3559.0,LDockum
15,15,"(437124.20469999965, 3696726.4626)",AngusCSB-9633,437124.20469999965,3696726.4626,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,LDockum,4901.0,LDockum
16,16,"(437889.48500000034, 3695972.9707999993)",AngusCSB-10707,437889.48500000034,3695972.9707999993,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,LDockum,5098.0,LDockum
17,17,"(442032.42650000006, 3696667.7652000003)",FortStantonCSA-10262,442032.42650000006,3696667.7652000003,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,5833.0,LDockum
18,18,"(443770.40160000045, 3698543.0713)",FortStantonCSC-2210,443770.40160000045,3698543.0713,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6456.0,LDockum
19,19,"(439166.8546000002, 3694715.277899999)",AngusCSB-12500,439166.8546000002,3694715.277899999,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,LDockum,5875.0,LDockum
20,20,"(440464.51379999984, 3693437.6078999992)",AngusCSB-14321,440464.51379999984,3693437.6078999992,meters,NAD83,Rawling2004_OFGM95,Sampled from interpretive cross-section,LDockum,6958.0,LDockum
21,21,"(442029.23599999957, 3695042.7684000004)",FortStantonCSA-11887,442029.23599999957,3695042.7684000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6912.0,LDockum
22,22,"(442029.9232000001, 3695392.7676999997)",FortStantonCSA-11537,442029.9232000001,3695392.7676999997,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,6784.0,LDockum
23,23,"(437062.1935999999, 3691669.1862000003)",RuidosoCSA-1928,437062.1935999999,3691669.1862000003,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,3310.0,LDockum
24,24,"(435784.5921, 3693046.319)",RuidosoCSA-50,435784.5921,3693046.319,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,3234.0,LDockum
25,25,"(437549.89269999973, 3691143.4930000007)",RuidosoCSA-2645,437549.89269999973,3691143.4930000007,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,3477.0,LDockum
26,26,"(439250.1880000001, 3689310.7366000004)",RuidosoCSA-5145,439250.1880000001,3689310.7366000004,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,7122.0,LDockum
27,27,"(438400.0404000003, 3690227.1148000006)",RuidosoCSA-3895,438400.0404000003,3690227.1148000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,6000.0,LDockum
28,28,"(438127.9930999996, 3690520.355799999)",RuidosoCSA-3495,438127.9930999996,3690520.355799999,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,4143.0,LDockum
29,29,"(430265.6321999999, 3688932.2102000006)",RuidosoCSB-136,430265.6321999999,3688932.2102000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
30,30,"(431255.46740000043, 3688208.3714000005)",RuidosoCSB-1363,431255.46740000043,3688208.3714000005,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
31,31,"(437016.43759999983, 3683995.5351)",RuidosoCSB-8500,437016.43759999983,3683995.5351,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
32,32,"(435528.79569999967, 3685083.4059999995)",RuidosoCSB-6657,435528.79569999967,3685083.4059999995,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
33,33,"(431938.53830000013, 3687708.8608)",RuidosoCSB-2209,431938.53830000013,3687708.8608,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
34,34,"(434860.2604, 3685572.2871000003)",RuidosoCSB-5828,434860.2604,3685572.2871000003,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
35,35,"(436013.1144000003, 3684729.237299999)",RuidosoCSB-7257,436013.1144000003,3684729.237299999,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
36,36,"(436672.07380000036, 3683939.492900001)",RuidosoCSC-7660,436672.07380000036,3683939.492900001,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
37,37,"(431852.21439999994, 3681020.8341000006)",RuidosoCSC-2000,431852.21439999994,3681020.8341000006,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,7132.0,LDockum
38,38,"(432292.53440000024, 3681257.727)",RuidosoCSC-2500,432292.53440000024,3681257.727,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,5938.0,LDockum
39,39,"(430134.966, 3680096.9518)",RuidosoCSC-50,430134.966,3680096.9518,meters,NAD83,Rawling2004_OFGM93,Sampled from interpretive cross-section,LDockum,,LDockum
40,40,"(442460.09389999975, 3702171.6867999993)",FortStantonCSA-4728,442460.09389999975,3702171.6867999993,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,,LDockum
41,41,"(442388.6238000002, 3700904.6083000004)",FortStantonCSA-6000,442388.6238000002,3700904.6083000004,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,5075.0,LDockum
42,42,"(442180.8579000002, 3699487.7606000006)",FortStantonCSA-7432,442180.8579000002,3699487.7606000006,meters,NAD83,Rawling2006_OFGM119,Sampled from interpretive cross-section,LDockum,5127.0,LDockum
43,43,"(454481.16420000046, 3713224.8927999996)",LDockum_ContactPts_45,,,,,NMBGMR_500k,500k_surface_map,LDockum,6304.0,LDockum
44,44,"(454706.6914999997, 3713611.1043999996)",LDockum_ContactPts_46,,,,,NMBGMR_500k,500k_surface_map,LDockum,6301.0,LDockum
45,45,"(455506.4023000002, 3714554.2660000008)",LDockum_ContactPts_47,,,,,NMBGMR_500k,500k_surface_map,LDockum,6325.0,LDockum
46,46,"(456295.74540000036, 3715275.1326)",LDockum_ContactPts_48,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
47,47,"(444931.7834000001, 3698295.8582000006)",LDockum_ContactPts_49,,,,,NMBGMR_500k,500k_surface_map,LDockum,6787.0,LDockum
48,48,"(445491.9559000004, 3698371.2535999995)",LDockum_ContactPts_50,,,,,NMBGMR_500k,500k_surface_map,LDockum,6779.0,LDockum
49,49,"(448865.9201999996, 3699274.151799999)",LDockum_ContactPts_51,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
50,50,"(448939.8925000001, 3700537.4218000006)",LDockum_ContactPts_52,,,,,NMBGMR_500k,500k_surface_map,LDockum,6800.0,LDockum
51,51,"(442239.8987999996, 3696116.2358)",LDockum_ContactPts_53,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
52,52,"(444932.7123999996, 3697027.027899999)",LDockum_ContactPts_54,,,,,NMBGMR_500k,500k_surface_map,LDockum,6895.0,LDockum
53,53,"(439422.43230000045, 3689976.6642000005)",LDockum_ContactPts_55,,,,,NMBGMR_500k,500k_surface_map,LDockum,6897.0,LDockum
54,54,"(437677.85979999974, 3688298.7689999994)",LDockum_ContactPts_58,,,,,NMBGMR_500k,500k_surface_map,LDockum,6651.0,LDockum
55,55,"(437544.6923000002, 3688344.0822)",LDockum_ContactPts_59,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
56,56,"(426399.98319999967, 3682091.3189000003)",LDockum_ContactPts_62,,,,,NMBGMR_500k,500k_surface_map,LDockum,7354.0,LDockum
57,57,"(436385.8108999999, 3683286.0603)",LDockum_ContactPts_63,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
58,58,"(438090.39470000006, 3684763.3793)",LDockum_ContactPts_64,,,,,NMBGMR_500k,500k_surface_map,LDockum,7112.0,LDockum
59,59,"(436198.15440000035, 3683997.780200001)",LDockum_ContactPts_65,,,,,NMBGMR_500k,500k_surface_map,LDockum,7242.0,LDockum
60,60,"(437958.45519999973, 3684858.958799999)",LDockum_ContactPts_66,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
61,61,"(421959.0521999998, 3678281.6601)",LDockum_ContactPts_67,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
62,62,"(428185.75380000006, 3677825.4727999996)",LDockum_ContactPts_68,,,,,NMBGMR_500k,500k_surface_map,LDockum,,LDockum
63,63,"(446455.58189999964, 3741089.2733999994)",LDockum_ContactPts_70,,,,,NMBGMR_500k,,LDockum,,LDockum
64,64,"(447035.2775999997, 3736878.496200001)",LDockum_ContactPts_71,,,,,NMBGMR_500k,,LDockum,,LDockum
65,65,"(449394.1950000003, 3728242.844900001)",LDockum_ContactPts_72,,,,,NMBGMR_500k,,LDockum,,LDockum
66,66,"(448731.68730000034, 3726145.3050999995)",LDockum_ContactPts_73,,,,,NMBGMR_500k,,LDockum,,LDockum
67,67,"(444659.38019999955, 3724918.9372000005)",LDockum_ContactPts_74,,,,,NMBGMR_500k,,LDockum,,LDockum
68,68,"(445362.09970000014, 3721766.641899999)",LDockum_ContactPts_75,,,,,NMBGMR_500k,,LDockum,,LDockum
69,69,"(451383.9073000001, 3718231.181500001)",LDockum_ContactPts_76,,,,,NMBGMR_500k,,LDockum,,LDockum
70,70,"(450848.92370000016, 3718455.5681999996)",LDockum_ContactPts_77,,,,,NMBGMR_500k,,LDockum,,LDockum
71,71,"(450497.85250000004, 3716428.6919)",LDockum_ContactPts_78,,,,,NMBGMR_500k,,LDockum,,LDockum
72,72,"(448609.38850000035, 3716557.4353)",LDockum_ContactPts_79,,,,,NMBGMR_500k,,LDockum,,LDockum
73,73,"(449560.9034000002, 3717853.9606)",LDockum_ContactPts_80,,,,,NMBGMR_500k,,LDockum,,LDockum
74,74,"(443730.45999999996, 3719529.0952000003)",LDockum_ContactPts_81,,,,,NMBGMR_500k,,LDockum,,LDockum
75,75,"(451022.51999999955, 3712685.691299999)",LDockum_ContactPts_82,,,,,NMBGMR_500k,,LDockum,,LDockum
76,76,"(449279.8953999998, 3715270.1667)",LDockum_ContactPts_83,,,,,NMBGMR_500k,,LDockum,,LDockum
77,77,"(451613.8559999997, 3716221.4518)",LDockum_ContactPts_84,,,,,NMBGMR_500k,,LDockum,,LDockum
78,78,"(450124.99459999986, 3710827.5912999995)",LDockum_ContactPts_85,,,,,NMBGMR_500k,,LDockum,,LDockum
79,79,"(448581.2149, 3711899.7852)",LDockum_ContactPts_86,,,,,NMBGMR_500k,,LDockum,,LDockum
80,80,"(450240.03259999957, 3707828.1840000004)",LDockum_ContactPts_87,,,,,NMBGMR_500k,,LDockum,,LDockum
81,81,"(448811.91899999976, 3707963.1821999997)",LDockum_ContactPts_88,,,,,NMBGMR_500k,,LDockum,,LDockum
82,82,"(449378.50320000015, 3702768.2300000004)",LDockum_ContactPts_89,,,,,NMBGMR_500k,,LDockum,,LDockum
83,83,"(449197.19099999964, 3704343.9757000003)",LDockum_ContactPts_90,,,,,NMBGMR_500k,,LDockum,,LDockum
84,84,"(447863.3552000001, 3703879.0255999994)",LDockum_ContactPts_91,,,,,NMBGMR_500k,,LDockum,,LDockum
85,85,"(444542.60259999987, 3698246.7261999995)",LDockum_ContactPts_92,,,,,NMBGMR_500k,,LDockum,,LDockum
86,86,"(447667.574, 3699972.2158000004)",LDockum_ContactPts_93,,,,,NMBGMR_500k,,LDockum,,LDockum
87,87,"(444089.78110000025, 3698199.3730999995)",LDockum_ContactPts_94,,,,,NMBGMR_500k,,LDockum,,LDockum
88,88,"(441723.37459999975, 3695921.3167000003)",LDockum_ContactPts_96,,,,,NMBGMR_500k,,LDockum,,LDockum
89,89,"(444066.6994000003, 3696715.947899999)",LDockum_ContactPts_97,,,,,NMBGMR_500k,,LDockum,,LDockum
90,90,"(439422.43230000045, 3689976.6642000005)",LDockum_ContactPts_98,,,,,NMBGMR_500k,,LDockum,,LDockum
91,91,"(426058.08779999986, 3682382.4043000005)",LDockum_ContactPts_99,,,,,NMBGMR_500k,,LDockum,,LDockum
