OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
1,1,"(648883.4157999996, 3724720.7114000004)",30-041-00268,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1739
2,2,"(663074.6394999996, 3696855.1242999993)",30-025-03655,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1115
3,3,"(635037.1607999997, 3731717.669399999)",30-041-00145,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2322
4,4,"(580728.7553000003, 3699639.308599999)",30-005-00350,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,3509
5,5,"(662155.8295, 3703260.5645000003)",30-025-03639,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1230
6,6,"(650886.8112000003, 3731208.3002000004)",30-041-20845,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1978
7,7,"(647774.3887, 3721083.4323999994)",30-041-00141,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1697
8,8,"(670207.6369000003, 3721876.7150999997)",30-041-00219,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,1336
9,9,"(639457.5712000001, 3735447.7184999995)",30-041-10572,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2314
10,10,"(574830.9742999999, 3683369.8313999996)",30-005-00334,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,3568
11,11,"(590266.8130999999, 3723859.4001)",30-005-00407,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,3260
12,12,"(678072.8627000004, 3688129.7853999995)",30-025-07129,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,892
13,13,"(621938.4687999999, 3683571.176000001)",30-025-00115,SalineSE,No known issues,"Yates,Tansill",LOchoan,2187
14,14,"(572626.2728000004, 3720110.246200001)",30-005-00236,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen",LOchoan,3687
15,15,"(626656.0417999998, 3719859.8729999997)",30-005-01212,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2193
16,16,"(610220.6913000001, 3687274.3904999997)",30-005-00539,SalineSE,No known issues,"Tansill,Yates,Seven Rivers,Queen,Grayburg",LOchoan,2378
17,17,"(636353.7289000005, 3717547.4222)",30-005-29036,OCD_online_2018,No known issues,"Tansill,Yates",LOchoan,1955
18,18,"(626793.8344, 3703393.9241000004)",30-025-37568,OCD_online_2018,No known issues,Tansill,LOchoan,2094
19,19,"(606878.4351000004, 3722805.625)",30-005-29028,OCD_online_2018,No known issues,"Tansill,Yates,Seven Rivers,Grayburg",LOchoan,2667
20,20,"(570653.1551999999, 3695210.1164999995)",Artesia_ContactPts_207,NMBGMR_500k,,Artesia,LOchoan,3699
21,21,"(568061.3510999996, 3716974.0534000006)",Artesia_ContactPts_276,NMBGMR_500k,,Artesia,LOchoan,3872
22,22,"(566133.0686999997, 3717745.5001)",Artesia_ContactPts_277,NMBGMR_500k,,Artesia,LOchoan,3811
23,23,"(565886.2122, 3720671.0238000005)",Artesia_ContactPts_279,NMBGMR_500k,,Artesia,LOchoan,3868
24,24,"(574261.3448000001, 3699588.4893999994)",30-005-62751,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3725
25,25,"(556480.3320000004, 3720569.1405999996)",30-005-63218,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4339
26,26,"(567811.8572000004, 3707573.8247999996)",30-005-63234,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3961
27,27,"(565300.9759, 3714295.3696999997)",30-005-63244,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3997
28,28,"(579763.1807000004, 3711604.9309)",30-005-62245,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3570
29,29,"(534075.2424999997, 3689943.7720999997)",30-005-61071,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4644
30,30,"(566588.6969999997, 3704725.8084999993)",30-005-63307,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3936
31,31,"(658733.0177999996, 3735345.0922)",30-041-20366,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1910
32,32,"(580230.1063999999, 3705266.6076999996)",30-005-00345,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3517
33,33,"(586440.7001999998, 3685070.658500001)",30-005-00421,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3209
34,34,"(613487.5716000004, 3682495.1692999993)",30-005-20916,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2233
35,35,"(645196.1654000003, 3685510.0397999994)",30-025-34991-0001,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1340
36,36,"(642381.0323000001, 3687075.3307000007)",30-025-01829,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1465
37,37,"(641344.7548000002, 3694791.0884000007)",30-025-20545,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1489
38,38,"(571962.9221999999, 3688621.2183999997)",30-005-00320,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3690
39,39,"(560230.9545999998, 3686000.0600000005)",30-005-60226,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4038
40,40,"(677528.8653999995, 3695709.3684)",30-025-07098,SalineSE,No known issues,"San Andres,Glorieta",Artesia,947
41,41,"(678943.4302000003, 3684856.8211000003)",30-025-07176,SalineSE,No known issues,"San Andres,Glorieta",Artesia,874
42,42,"(616679.0761000002, 3686735.6449999996)",30-025-21243,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2282
43,43,"(667142.1312999995, 3706278.2621999998)",30-025-26463,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1164
44,44,"(626328.8055999996, 3687247.909499999)",30-025-01006,SalineSE,No known issues,San Andres,Artesia,1979
45,45,"(653151.7111, 3689247.755000001)",30-025-02674,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1172
46,46,"(658799.5574000003, 3689361.8288000003)",30-025-03660,SalineSE,No known issues,San Andres,Artesia,1063
47,47,"(619015.8402000004, 3693198.9580000006)",30-025-00051,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2255
48,48,"(563392.5283000004, 3702731.8254000004)",30-005-60689-0001,SalineSE,No known issues,"San Andres,Glorieta",Artesia,4018
49,49,"(564136.3689000001, 3714804.193)",30-005-63252,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3924
50,50,"(610577.9321999997, 3690398.7926000003)",30-005-00537,SalineSE,No known issues,"Glorieta,San Andres",Artesia,2371
51,51,"(602650.7340000002, 3684385.9486999996)",30-005-21052,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2565
52,52,"(572988.4857000001, 3725292.0999999996)",30-005-60310,SalineSE,No known issues,"San Andres,Glorieta",Artesia,3901
53,53,"(598761.5318, 3724700.5976)",30-005-00403,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2987
54,54,"(610983.1640999997, 3727355.033500001)",30-005-21071,SalineSE,No known issues,"San Andres,Glorieta",Artesia,2664
55,55,"(646422.8528000005, 3729123.6346000005)",30-041-20659,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1930
56,56,"(660399.0543, 3731761.3806)",30-041-20752,SalineSE,No known issues,"San Andres,Glorieta",Artesia,1827
57,57,"(579700.3561000004, 3692100.0623000003)",30-005-63141,OFR497,No known issues,"San Andres,Glorieta",Artesia,3499
58,58,"(567608.5049999999, 3690871.589299999)",30-005-63642,OFR497,No known issues,"San Andres,Glorieta",Artesia,3844
59,59,"(675648.6836000001, 3686013.6334000006)",30-025-27493,OFR497,No known issues,San Andres,Artesia,846
60,60,"(590503.9907999998, 3700250.0764000006)",30-005-63612,OCD_online_2018,No known issues,San Andres,Artesia,3015
61,61,"(639809.9123999998, 3715412.1867999993)",30-025-40542,OCD_online_2018,No known issues,San Andres,Artesia,1656
62,62,"(639457.1942999996, 3716110.2249999996)",30-041-20955,OCD_online_2018,No known issues,San Andres,Artesia,1678
63,63,"(639817.5933999997, 3715713.9703)",30-041-20956,OCD_online_2018,No known issues,San Andres,Artesia,1649
64,64,"(578828.3706999999, 3718512.3004)",30-005-62943,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,3596
65,65,"(578229.3375000004, 3722438.2135000005)",30-005-63628,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,3653
66,66,"(599214.8525999999, 3707131.1248000003)",30-005-64118,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2733
67,67,"(599318.0447000004, 3706814.9355999995)",30-005-64127,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2724
68,68,"(598826.1799999997, 3705427.075200001)",30-005-64142,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,2737
69,69,"(591599.1228, 3701668.9485)",30-005-63660,OCD_online_2018,No known issues,San Andres,Artesia,3038
70,70,"(637701.7562999995, 3706285.2781000007)",30-025-37466,OCD_online_2018,No known issues,"San Andres,Glorieta",Artesia,1680
