OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SE_NM_30m_int,SimpleUnit
1,1,"(446455.58189999964, 3741089.2733999994)",UCretaceous_ContactPts_51,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,8682.0,6453,UCretaceous
2,2,"(447035.2775999997, 3736878.496200001)",UCretaceous_ContactPts_52,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,8727.0,6437,UCretaceous
3,3,"(450638.03259999957, 3725294.4696999993)",SierraBlanca_ContactPts_24,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6605.0,6605,SierraBlanca
4,4,"(453812.73369999975, 3725799.0560999997)",SierraBlanca_ContactPts_25,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6593.0,6593,SierraBlanca
5,5,"(444659.38019999955, 3724918.9372000005)",UCretaceous_ContactPts_55,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,6737,UCretaceous
6,6,"(473420.0558000002, 3720014.5275999997)",CapitanPeakCSB-13312,472150.9101999998,3707378.5588000007,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SierraBlanca,4750.0,7182,SierraBlanca
7,7,"(474516.48000000045, 3720325.9678000007)",SierraBlanca_ContactPts_26,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7031,SierraBlanca
8,8,"(479365.2734000003, 3720260.2238999996)",SierraBlanca_ContactPts_27,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6142,SierraBlanca
9,9,"(451427.1699999999, 3719944.6433000006)",SierraBlanca_ContactPts_31,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7031,SierraBlanca
10,10,"(449651.6666000001, 3719751.214400001)",SierraBlanca_ContactPts_32,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6855.0,6855,SierraBlanca
11,11,"(443730.45999999996, 3719529.0952000003)",UCretaceous_ContactPts_62,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,,6895,UCretaceous
12,12,"(442018.31120000035, 3719524.0764000006)",CapitanCSD-50,442018.31120000035,3719524.0764000006,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,8028.0,7174,UCretaceous
13,13,"(443045.1782999998, 3719076.9255)",CapitanCSD-1170,443045.1782999998,3719076.9255,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,,6953,UCretaceous
14,14,"(435376.0911999997, 3719554.0998)",NogalCSD-5000,435376.0911999997,3719554.0998,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7118.0,7469,UCretaceous
15,15,"(441667.4199999999, 3719544.503799999)",NogalCSD-11291,441667.4199999999,3719544.503799999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7818.0,7129,UCretaceous
16,16,"(438376.08770000003, 3719549.524)",NogalCSD-8000,438376.08770000003,3719549.524,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7947.0,7361,UCretaceous
17,17,"(436810.6213999996, 3719551.911800001)",NogalCSD-6435,436810.6213999996,3719551.911800001,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7970.0,7293,UCretaceous
18,18,"(433968.2059000004, 3719556.247199999)",NogalCSD-3592,433968.2059000004,3719556.247199999,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,6655.0,6371,UCretaceous
19,19,"(432649.9693999998, 3719558.2578999996)",NogalCSD-2274,432649.9693999998,3719558.2578999996,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,6388.0,6119,UCretaceous
20,20,"(439876.0859000003, 3719547.2360999994)",NogalCSD-9500,439876.0859000003,3719547.2360999994,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,UCretaceous,7282.0,7157,UCretaceous
21,21,"(472965.9649, 3715493.4713000003)",CapitanPeakCSB-8768,472604.9665999999,3711899.2707,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SierraBlanca,4747.0,8068,SierraBlanca
22,22,"(473024.0647999998, 3716071.9299999997)",CapitanPeakCSB-9350,472546.8512000004,3711320.6576000005,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SierraBlanca,4658.0,8915,SierraBlanca
23,23,"(473098.63879999984, 3716814.4093999993)",CapitanPeakCSB-10096,472472.2988,3710578.3932000007,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,SierraBlanca,4790.0,8992,SierraBlanca
24,24,"(439977.6621000003, 3717573.4529)",SierraBlanca_ContactPts_28,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,6931.0,6931,SierraBlanca
25,25,"(483188.5491000004, 3716693.004899999)",SierraBlanca_ContactPts_30,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,5562.0,5562,SierraBlanca
26,26,"(438020.4068999998, 3715279.2715000007)",SierraBlanca_ContactPts_33,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,7166,SierraBlanca
27,27,"(434880.49909999967, 3715410.316400001)",SierraBlanca_ContactPts_34,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6431,SierraBlanca
28,28,"(434664.7270999998, 3715616.5998)",SierraBlanca_ContactPts_35,,,,,NMBGMR_500k,500k_surface_map,SierraBlanca,,6348,SierraBlanca
29,29,"(430405.69710000046, 3716748.2905)",NogalCSC-50,430405.69710000046,3716748.2905,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,,6217,SierraBlanca
30,30,"(440605.69240000006, 3716738.3915)",NogalCSC-10250,440605.69240000006,3716738.3915,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6844.0,6901,SierraBlanca
31,31,"(432355.6963999998, 3716746.398)",NogalCSC-2000,432355.6963999998,3716746.398,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,,6233,SierraBlanca
32,32,"(439105.69319999963, 3716739.8472000007)",NogalCSC-8750,439105.69319999963,3716739.8472000007,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6870.0,6935,SierraBlanca
33,33,"(439855.6928000003, 3716739.1194)",NogalCSC-9500,439855.6928000003,3716739.1194,meters,NAD83,Rawling2014_OFR538,Sampled from interpretive cross-section,SierraBlanca,6873.0,6930,SierraBlanca
34,34,"(432764.0307, 3717151.217)",SierraBlanca_ContactPts_111,,,,,Rawling2014_OFR538,24k_surface_map,SierraBlanca,6150.0,6163,SierraBlanca
35,35,"(451383.9073000001, 3718231.181500001)",UCretaceous_ContactPts_57,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9182.0,6687,UCretaceous
36,36,"(450848.92370000016, 3718455.5681999996)",UCretaceous_ContactPts_58,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9176.0,6693,UCretaceous
37,37,"(450497.85250000004, 3716428.6919)",UCretaceous_ContactPts_59,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9235.0,6699,UCretaceous
38,38,"(448609.38850000035, 3716557.4353)",UCretaceous_ContactPts_60,,,,,NMBGMR_500k,500k_surface_map,UCretaceous,9164.0,6626,UCretaceous
