OID@,OBJECTID,SHAPE,UniqueID,DataSourceID,DataQualityBottom,UnitsPresent,SimpleUnit,MUEBase
1,1,"(658733.0177999996, 3735345.0922)",30-041-20366,SalineSE,No known issues,Lower Chinle,UDockum,3102.0
2,2,"(619015.8402000004, 3693198.9580000006)",30-025-00051,SalineSE,No known issues,Lower Chinle,UDockum,3879.0
3,3,"(610577.9321999997, 3690398.7926000003)",30-005-00537,SalineSE,No known issues,Lower Chinle,UDockum,3982.0
4,4,"(672997.8043, 3680397.9275)",30-025-27887,OFR497,No known issues,Lower Chinle,UDockum,2702.0
5,5,"(654266.5664999997, 3697496.8518000003)",30-025-27240,OFR487,No known issues,Lower Chinle,UDockum,2810.0
6,6,"(632666.5003000004, 3732046.1137000006)",30-041-20493,OFR487,No known issues,Lower Chinle,UDockum,3382.0
7,7,"(668873.6335000005, 3731486.748400001)",30-041-20613,OFR487,No known issues,Lower Chinle,UDockum,2921.0
8,8,"(682072.0297999997, 3721996.7872)",42-079-00369,BRACS_BEG_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2765.0
9,9,"(680916.6699999999, 3677943.7008999996)",42-501-32071,BRACS_BEG_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2653.0
10,10,"(681895.0335999997, 3706764.5988999996)",42-079-00032,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2590.0
11,11,"(682193.1443999996, 3715879.0764000006)",42-079-00788,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs,No known issues,Lower Chinle,UDockum,2603.0
12,12,"(617386.2454000004, 3721756.741699999)",30-005-10161,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3728.0
13,13,"(616987.4335000003, 3731367.3771)",30-005-20300,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3701.0
14,14,"(628294.8765000002, 3721080.6085)",30-005-20733,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3488.0
15,15,"(617228.4446999999, 3713625.7870000005)",30-005-21033,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3682.0
16,16,"(617485.6660000002, 3683896.6191000007)",30-025-00095,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3940.0
17,17,"(637470.8388, 3692213.5221999995)",30-025-01824,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3168.0
18,18,"(663932.5440999996, 3710396.6032)",30-025-03597,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2829.0
19,19,"(669060.7379000001, 3696400.8500999995)",30-025-05007,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2703.0
20,20,"(667246.1025, 3686643.096999999)",30-025-05016,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2744.0
21,21,"(640363.0615999997, 3708890.9535000008)",30-025-22301,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3153.0
22,22,"(626602.1370000001, 3695279.6147000007)",30-025-22350,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3461.0
23,23,"(641281.5632999996, 3679791.6741000004)",30-025-22352,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3250.0
24,24,"(637689.1237000003, 3699600.4047999997)",30-025-22481,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,3162.0
25,25,"(658349.2593, 3714023.3117999993)",30-025-22830,BRACS_INTERA_High_Plains_GAM_study,No known issues,Lower Chinle,UDockum,2895.0
