OID@,OBJECTID,Shape,UniqueID,Easting,Northing,Units,Datum,DataSourceID,DataQualityBottom,UnitsPresent,MUEBase,SimpleUnit
1,1,"(472094.70550000016, 3706818.968699999)",CapitanPeakCSB-50,473476.2785,3720574.2961999997,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,4022.0,Yeso
2,2,"(453636.37320000026, 3717082.8379999995)",CapitanPassCSA-100,453636.37320000026,3717082.8379999995,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Yeso,,Yeso
3,3,"(456256.82919999957, 3714916.4557000007)",CapitanPassCSA-3500,456256.82919999957,3714916.4557000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Yeso,,Yeso
4,4,"(472477.44120000023, 3710629.5922999997)",CapitanPeakCSB-3879,473093.57919999957,3716764.035,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,4019.0,Yeso
5,5,"(472595.0617000004, 3711800.6548999995)",CapitanPeakCSB-5056,472975.93850000016,3715592.7717000004,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,4009.0,Yeso
6,6,"(472550.21829999983, 3711354.182499999)",CapitanPeakCSB-4608,473020.7196000004,3716038.624,meters,NAD83,Skotnicki2010_OFGM209,Sampled from interpretive cross-section,Yeso,4012.0,Yeso
7,7,"(456808.7687999997, 3714460.1564000007)",CapitanPassCSA-4216,456808.7687999997,3714460.1564000007,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Yeso,,Yeso
8,8,"(461005.1710999999, 3710990.908399999)",CapitanPassCSA-9660,461005.1710999999,3710990.908399999,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Yeso,4622.0,Yeso
9,9,"(460330.67370000016, 3711548.5286)",CapitanPassCSA-8785,460330.67370000016,3711548.5286,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Yeso,4481.0,Yeso
10,10,"(458637.699, 3712948.1438999996)",CapitanPassCSA-6589,458637.699,3712948.1438999996,meters,NAD83,Skotnicki2010_OFGM208,Sampled from interpretive cross-section,Yeso,4183.0,Yeso
